Number,Abstract
11,"  We discuss the role of non-ideal measurements within the context of
measurement engines by contrasting examples of measurement engines which have
the same work output but with varying amounts of entanglement. Accounting for
the cost of resetting, correlating the engine to a pointer state and also the
cost of cooling the pointer state, we show that for a given work output,
thermally correlated engines can outperform corresponding entanglement engines.
We also show that the optimal efficiency of the thermally correlated
measurement engine is achieved with a higher temperature pointer than the
pointer temperature of the optimal entanglement engine.
"
12,"  The top-down approach of engineering software integration is considered in
this parer. A set of advantages of this approach are presented, by examples.
All examples are supplied by open source code.
"
13,"  This short papers discusses the issues of teaching cloud computing from a
software engineering rather than a business perspective. It discusses what
topics might be covered in a senior course on cloud software engineering.
"
14,"  Background: Academic search engines (i.e., digital libraries and indexers)
play an increasingly important role in systematic reviews however these engines
do not seem to effectively support such reviews, e.g., researchers confront
usability issues with the engines when conducting their searches. Aims: To
investigate whether the usability issues are bugs (i.e., faults in the search
engines) or constraints, and to provide recommendations to search-engine
providers and researchers on how to tackle these issues. Method: Using
snowball-sampling from tertiary studies, we identify a set of 621 secondary
studies in software engineering. By physically re-attempting the searches for
all of these 621 studies, we effectively conduct regression testing for 42
search engines. Results: We identify 13 bugs for eight engines, and also
identify other constraints. We provide recommendations for tackling these
issues. Conclusions: There is still a considerable gap between the search-needs
of researchers and the usability of academic search engines. It is not clear
whether search-engine developers are aware of this gap. Also, the evaluation,
by academics, of academic search engines has not kept pace with the
development, by search-engine providers, of those search engines. Thus, the gap
between evaluation and development makes it harder to properly understand the
gap between the search-needs of researchers and search-features of the search
engines.
"
15,"  This paper investigates the composition of search engine results pages. We
define what elements the most popular web search engines use on their results
pages (e.g., organic results, advertisements, shortcuts) and to which degree
they are used for popular vs. rare queries. Therefore, we send 500 queries of
both types to the major search engines Google, Yahoo, Live.com and Ask. We
count how often the different elements are used by the individual engines. In
total, our study is based on 42,758 elements. Findings include that search
engines use quite different approaches to results pages composition and
therefore, the user gets to see quite different results sets depending on the
search engine and search query used. Organic results still play the major role
in the results pages, but different shortcuts are of some importance, too.
Regarding the frequency of certain host within the results sets, we find that
all search engines show Wikipedia results quite often, while other hosts shown
depend on the search engine used. Both Google and Yahoo prefer results from
their own offerings (such as YouTube or Yahoo Answers). Since we used the .com
interfaces of the search engines, results may not be valid for other
country-specific interfaces.
"
16,"  Security engineering in the software lifecycle aims at protecting information
and systems to guarantee confidentiality, integrity, and availability. As
security engineering matures and the number of research papers grows, there is
an increasing need for papers that summarize results and provide an overview of
the area. A systematic mapping study ""maps"" a research area by classifying
papers to identify which topics are well-studied and which need additional
study. Therefore, systematic mapping studies are becoming increasingly
important in security engineering. This chapter provides methodological support
for systematic mapping studies in security engineering based on examples from
published security engineering papers. Because security engineering is similar
to software engineering in that it bridges research and practice, researchers
can use the same basic systematic mapping process, as follows: (1) study
planning, (2) searching for studies, (3) study selection, (4) study quality
assessment, (5) data extraction, (6) data classification, (7) data analysis,
and (8) reporting of results. We use published mapping studies to describe the
tailoring of this process for security engineering. In addition to guidance on
how to perform systematic mapping studies in security engineering, this chapter
should increase awareness in the security engineering community of the need for
additional mapping studies.
"
17,"  We catalog and describe Google's key software engineering practices.
"
18,"  Social engineering has posed a serious threat to cyberspace security. To
protect against social engineering attacks, a fundamental work is to know what
constitutes social engineering. This paper first develops a domain ontology of
social engineering in cybersecurity and conducts ontology evaluation by its
knowledge graph application. The domain ontology defines 11 concepts of core
entities that significantly constitute or affect social engineering domain,
together with 22 kinds of relations describing how these entities related to
each other. It provides a formal and explicit knowledge schema to understand,
analyze, reuse and share domain knowledge of social engineering. Furthermore,
this paper builds a knowledge graph based on 15 social engineering attack
incidents and scenarios. 7 knowledge graph application examples (in 6 analysis
patterns) demonstrate that the ontology together with knowledge graph is useful
to 1) understand and analyze social engineering attack scenario and incident,
2) find the top ranked social engineering threat elements (e.g. the most
exploited human vulnerabilities and most used attack mediums), 3) find
potential social engineering threats to victims, 4) find potential targets for
social engineering attackers, 5) find potential attack paths from specific
attacker to specific target, and 6) analyze the same origin attacks.
"
19,"  This paper represents preliminary work in identifying the foundation for the
discipline of Software Engineering and discovering the links between the
domains of Software Engineering and Information Technology (IT). Our research
utilized IEEE Transactions on Software Engineering (IEEE-TSE), ACM Transactions
on Software Engineering and Methodology (ACM-TOSEM), Automated Software
Engineering (ASE), the International Conference on Software Engineering(ICSE),
and other related journal publication in the software engineering domain to
address our research questions. We explored existing frameworks and described
the need for software engineering as an academic discipline. We went further to
clarify the distinction difference between Software Engineering and Computer
Science. Through this efforts we contribute to an understanding of how evidence
from IT research can be used to improve Software Engineering as a discipline.
"
20,"  This systematic literature review aims to investigate the impact of
artificial intelligence (AI) on the labour force in software engineering, with
a particular focus on the skills needed for future software engineers, the
impact of AI on the demand for software engineering skills, and the future of
work for software engineers. The review identified 42 relevant publications
through a comprehensive search strategy and analysed their findings. The
results indicate that future software engineers will need to be competent in
programming and have soft skills such as problem-solving and interpersonal
communication. AI will have a significant impact on the software engineering
workforce, with the potential to automate many jobs currently done by software
engineers. The role of a software engineer is changing and will continue to
change in the future, with AI-assisted software development posing challenges
for the software engineering profession. The review suggests that the software
engineering profession must adapt to the changing landscape to remain relevant
and effective in the future.
"
21,"  By treating data and models as the source code, Foundation Models (FMs)
become a new type of software. Mirroring the concept of software crisis, the
increasing complexity of FMs making FM crisis a tangible concern in the coming
decade, appealing for new theories and methodologies from the field of software
engineering. In this paper, we outline our vision of introducing Foundation
Model (FM) engineering, a strategic response to the anticipated FM crisis with
principled engineering methodologies. FM engineering aims to mitigate potential
issues in FM development and application through the introduction of
declarative, automated, and unified programming interfaces for both data and
model management, reducing the complexities involved in working with FMs by
providing a more structured and intuitive process for developers. Through the
establishment of FM engineering, we aim to provide a robust, automated, and
extensible framework that addresses the imminent challenges, and discovering
new research opportunities for the software engineering field.
"
22,"  Digital Engineering, the digital transformation of engineering to leverage
digital technologies, is coming globally. This paper explores digital systems
engineering, which aims at developing theory, methods, models, and tools to
support the emerging digital engineering. A critical task is to digitalize
engineering artifacts, thus enabling information sharing across platform,
across life cycle, and across domains. We identify significant challenges and
enabling digital technologies; analyze the transition from traditional
engineering to digital engineering; define core concepts, including
""digitalization"", ""unique identification"", ""digitalized artifacts"", ""digital
augmentation"", and others; present a big picture of digital systems engineering
in four levels: vision, strategy, action, and foundation; briefly discuss each
of main areas of research issues. Digitalization enables fast infusing and
leveraging novel digital technologies; unique identification enables
information traceability and accountability in engineering lifecycle;
provenance enables tracing dependency relations among engineering artifacts;
supporting model reproducibility and replicability; helping with
trustworthiness evaluation of digital engineering artifacts.
"
23,"  We present a principal-agent model of a one-shot, shallow, systems
engineering process. The process is one-shot in the sense that decisions are
made during one time step and that they are final. The term shallow refers to a
one-layer hierarchy of the process. Specifically, we assume that the systems
engineer has already decomposed the problem in subsystems, and that each
subsystem is assigned to a different subsystem engineer. Each subsystem
engineer works independently to maximize their own expected payoff. The goal of
the systems engineer is to maximize the system-level payoff by incentivizing
the subsystem engineers. We restrict our attention to requirement-based
system-level payoffs, i.e., the systems engineer makes a profit only if all the
design requirements are met. We illustrate the model using the design of an
Earth-orbiting satellite system where the systems engineer determines the
optimum incentive structures and requirements for two subsystems: the
propulsion subsystem and the power subsystem. The model enables the analysis of
a systems engineer's decisions about optimal passed-down requirements and
incentives for sub-system engineers under different levels of task difficulty
and associated costs. Sample results, for the case of risk-neutral systems and
subsystems engineers, show that it is not always in the best interest of the
systems engineer to pass down the true requirements. As expected, the model
predicts that for small to moderate task uncertainties the optimal requirements
are higher than the true ones, effectively eliminating the probability of
failure for the systems engineer. In contrast, the model predicts that for
large task uncertainties the optimal requirements should be smaller than the
true ones in order to lure the subsystem engineers into participation.
"
24,"  In this position paper (1) we discuss two particular aspects of Systems of
Systems, i.e., variability and evolution. (2) We argue that concepts from
Product Line Engineering and Software Evolution are relevant to Systems of
Systems Engineering. (3) Conversely, concepts from Systems of Systems
Engineering can be helpful in Product Line Engineering and Software Evolution.
Hence, we argue that an exchange of concepts between the disciplines would be
beneficial.
"
25,"  We retrospect three abstract models for heat engines which include a classic
abstract model in textbook of thermal physics, a primary abstract model for
finite-time heat engines, and a refined abstract model for finite-time heat
engines. The detailed models of heat engines in literature of finite-time
thermodynamics may be mapped into the refined abstract model. The future
developments based on the refined abstract model are also surveyed.
"
26,"  In this work, we introduce the concept of the fractional quantum heat engine.
We examine the space-fractional quantum Szilard heat engine as an example to
show that the space-fractional quantum heat engines can produce higher
efficiency than the conventional quantum heat engines.
"
27,"  Reverse engineering has been a standard practice in the hardware community
for some time. It has only been within the last ten years that reverse
engineering, or ""program comprehension"", has grown into the current
sub-discipline of software engineering. Traditional software engineering is
primarily focused on the development and design of new software. However, most
programmers work on software that other people have designed and developed. Up
to 50% of a software maintainers time can be spent determining the intent of
source code. The growing demand to reevaluate and reimplement legacy software
systems, brought on by the proliferation of clientserver and World Wide Web
technologies, has underscored the need for reverse engineering tools and
techniques. This paper introduces the terminology of reverse engineering and
gives some of the obstacles that make reverse engineering difficult. Although
reverse engineering remains heavily dependent on the human component, a number
of automated tools are presented that aid the reverse engineer.
"
28,"  On 4 January 2007 the author published the article Wireless Transfer of
Electricity in Outer Space in http://arxiv.org wherein he offered and
researched a new revolutionary method of transferring electric energy in space.
In that same article, he offered a new engine which produces a large thrust
without throwing away large amounts of reaction mass (unlike the conventional
rocket engine).
  In the current article, the author develops the theory of this kind of
impulse engine and computes a sample project which shows the big possibilities
opened by this new AB-Space Engine. The AB-Space Engine gets the energy from
ground-mounted power; a planet electric station can transfer electricity up to
1000 millions (and more) of kilometers by plasma wires. Author shows that
AB-Space Engine can produce thrust of 10 tons (and more). That can accelerate a
space ship to some thousands of kilometers/second. AB-Space Engine has a
staggering specific impulse owing to the very small mass expended. The AB-Space
Engine reacts not by expulsion of its own mass (unlike rocket engine) but
against the mass of its planet of origin (located perhaps a thousand of
millions of kilometers away) through the magnetic field of its plasma cable.
For creating this plasma cable the AB-Space Engine spends only some kg of
hydrogen.
"
29,"  For heat engines working between two heat baths, functionality is often
conditioned on a set of fixed constraints such as given internal structure of
the engine and given temperatures for the baths. It is, however, important to
devise heat engines which can function adaptively, in particular when the
engine is a quantum system and the baths are subject to fluctuations. Here we
study a model for an adaptive quantum heat engine whose heat baths can have
variable temperatures. We obtain conditions under which such an engine can
still operate. Moreover, we propose an enhancement of the heat engine by
coupling it with an appropriate controller which changes the internal structure
of the engine. Interestingly, we prove that this enhanced engine can always
operate and we also obtain conditions for maximum power extraction from this
engine for all temperatures of the heat baths.
"
30,"  Sound event detection (SED) is an active area of audio research that aims to
detect the temporal occurrence of sounds. In this paper, we apply SED to engine
fault detection by introducing a multimodal SED framework that detects
fine-grained engine faults of automobile engines using audio and
accelerometer-recorded vibration. We first introduce the problem of engine
fault SED on a dataset collected from a large variety of vehicles with
expertly-labeled engine fault sound events. Next, we propose a SED model to
temporally detect ten fine-grained engine faults that occur within vehicle
engines and further explore a pretraining strategy using a large-scale
weakly-labeled engine fault dataset. Through multiple evaluations, we show our
proposed framework is able to effectively detect engine fault sound events.
Finally, we investigate the interaction and characteristics of each modality
and show that fusing features from audio and vibration improves overall engine
fault SED capabilities.
"
31,"  This book consists of the chapters describing novel approaches to integrating
fault tolerance into software development process. They cover a wide range of
topics focusing on fault tolerance during the different phases of the software
development, software engineering techniques for verification and validation of
fault tolerance means, and languages for supporting fault tolerance
specification and implementation. Accordingly, the book is structured into the
following three parts: Part A: Fault tolerance engineering: from requirements
to code; Part B: Verification and validation of fault tolerant systems; Part C:
Languages and Tools for engineering fault tolerant systems.
"
32,"  The use of conceptual models to foster requirements engineering has been
proposed and evaluated as beneficial for several decades. For instance,
goal-oriented requirements engineering or the specification of scenarios are
commonly done using conceptual models. Bringing such model-based requirements
engineering approaches into industrial practice typically requires industrial
training. In this paper, we report lessons learned from a training program for
teaching industry professionals model-based requirements engineering.
Particularly, we as educators and learners report experiences from designing
the training program, conducting the actual training, and applying the
instructed material in our day-to-day work. From these findings we provide
guidelines for educators designing requirements engineering courses for
industry professionals.
"
33,"  In empirical software engineering, benchmarks can be used for comparing
different methods, techniques and tools. However, the recent ACM SIGSOFT
Empirical Standards for Software Engineering Research do not include an
explicit checklist for benchmarking. In this paper, we discuss benchmarks for
software performance and scalability evaluation as example research areas in
software engineering, relate benchmarks to some other empirical research
methods, and discuss the requirements on benchmarks that may constitute the
basis for a checklist of a benchmarking standard for empirical software
engineering research.
"
34,"  Quantum software engineering (QSE) is receiving increasing attention, as
evidenced by increasing publications on topics, e.g., quantum software
modeling, testing, and debugging. However, in the literature, quantum software
requirements engineering (QSRE) is still a software engineering area that is
relatively less investigated. To this end, in this paper, we provide an initial
set of thoughts about how requirements engineering for quantum software might
differ from that for classical software after making an effort to map classical
requirements classifications (e.g., functional and extra-functional
requirements) into the context of quantum software. Moreover, we provide
discussions on various aspects of QSRE that deserve attention from the quantum
software engineering community.
"
35,"  Participatory citizen platforms are innovative solutions to digitally better
engage citizens in policy-making and deliberative democracy in general.
Although these platforms have been used also in an engineering context, thus
far, there is no existing work for connecting the platforms to requirements
engineering. The present paper fills this notable gap. In addition to
discussing the platforms in conjunction with requirements engineering, the
paper elaborates potential advantages and disadvantages, thus paving the way
for a future pilot study in a software engineering context. With these
engineering tenets, the paper also contributes to the research of large
socio-technical software systems in a public sector context, including their
implementation and governance.
"
36,"  Reverse engineering is a complex process essential to software-security tasks
such as vulnerability discovery and malware analysis. Significant research and
engineering effort has gone into developing tools to support reverse engineers.
However, little work has been done to understand the way reverse engineers
think when analyzing programs, leaving tool developers to make interface design
decisions based only on intuition.
  This paper takes a first step toward a better understanding of reverse
engineers' processes, with the goal of producing insights for improving
interaction design for reverse engineering tools. We present the results of a
semi-structured, observational interview study of reverse engineers (N=16).
Each observation investigated the questions reverse engineers ask as they probe
a program, how they answer these questions, and the decisions they make
throughout the reverse engineering process. From the interview responses, we
distill a model of the reverse engineering process, divided into three phases:
overview, sub-component scanning, and focused experimentation. Each analysis
phase's results feed the next as reverse engineers' mental representations
become more concrete. We find that reverse engineers typically use static
methods in the first two phases, but dynamic methods in the final phase, with
experience playing large, but varying, roles in each phase. % and the role of
experience varies between phases. Based on these results, we provide five
interaction design guidelines for reverse engineering tools.
"
37,"  We report on the study of student difficulties regarding heat engine in the
context of Stirling cycle within upper-division undergraduate thermal physics
course. An in-class test about a Stirling engine with a regenerator was taken
by three classes, and the students were asked to perform one of the most basic
activities---calculate the efficiency of the heat engine. Our data suggest that
quite a few students have not developed a robust conceptual understanding of
basic engineering knowledge of the heat engine, including the function of the
regenerator and the influence of piston movements on the heat and work involved
in the engine. Most notably, although the science error ratios of the three
classes were similar ($\sim$10\%), the engineering error ratios of the three
classes were high (above 50\%), and the class that was given a simple tutorial
of engineering knowledge of heat engine exhibited significantly smaller
engineering error ratio by about 20\% than the other two classes. In addition,
both the written answers and post-test interviews show that most of the
students can only associate Carnot's theorem with Carnot cycle, but not with
other reversible cycles working between two heat reservoirs, probably because
no enough cycles except Carnot cycle were covered in the traditional
Thermodynamics textbook. Our results suggest that both scientific and
engineering knowledge are important and should be included in instructional
approaches, especially in the Thermodynamics course taught in the countries and
regions with a tradition of not paying much attention to experimental education
or engineering training.
"
38,"  Heat engines and information engines have each historically served as
motivating examples for the development of thermodynamics. While these two
types of systems are typically thought of as two separate kinds of machines,
recent empirical studies of specific systems have hinted at possible
connections between the two. Inspired by molecular machines in the cellular
environment, which in many cases have separate components in contact with
distinct sources of fluctuations, we study bipartite heat engines. We show that
a bipartite heat engine can only produce net output work by acting as an
information engine. Conversely, information engines can only extract more work
than the work consumed to power them if they have access to different sources
of fluctuations, i.e., act as heat engines. We illustrate these findings first
through an analogy to economics and a cyclically controlled 2D ideal gas. We
then explore two analytically tractable model systems in more detail: a
Brownian-gyrator heat engine which we show can be reinterpreted as a
feedback-cooling information engine, and a quantum-dot information engine which
can be reinterpreted as a thermoelectric heat engine. Our results suggest
design principles for both heat engines and information engines at the
nanoscale, and ultimately imply constraints on how free-energy transduction is
carried out in biological molecular machines.
"
39,"  We explore the performance of three- and two-stroke heat engines with a
qutrit working substance in charging two-level quantum batteries. We first
classify the heat engines into two groups depending on their working methods.
The first type of heat engine, the sequential engine, evolves through three
distinct strokes, viz., heat, work, and cold strokes. In the second kind of
engine, a simultaneous engine, all the three events are made to occur
simultaneously in one stroke, followed by an additional stroke to thermalize
the working substance, i.e., the qutrit with a cold bath. We further categorize
these two types of engines into two classes depending on the type of
interaction between the working substance and the baths or the battery, viz.,
out-and-out engines, where the system bath interactions can invoke population
transitions between any two energy levels of the qutrit, and fragmented
engines, where only selective transition is materialized. Considering these
four types of heat engines, we analyze the work done by the working substance,
the percentage of charge accumulated by the quantum battery, and the efficiency
of the engine. By drawing a comparison between the charging schemes, we find
that the sequential out-and-out heat engines are most advantageous, providing
unit efficiency and transferring the most energy to the quantum battery, in the
optimal case. The ranking of the benefits obtained from the other three engines
depends on the quantity of interest.
"
40,"  We have analyzed manufacturing data from several different semiconductor
manufacturing plants, using decision tree induction software called Q-YIELD.
The software generates rules for predicting when a given product should be
rejected. The rules are intended to help the process engineers improve the
yield of the product, by helping them to discover the causes of rejection.
Experience with Q-YIELD has taught us the importance of data engineering --
preprocessing the data to enable or facilitate decision tree induction. This
paper discusses some of the data engineering problems we have encountered with
semiconductor manufacturing data. The paper deals with two broad classes of
problems: engineering the features in a feature vector representation and
engineering the definition of the target concept (the classes). Manufacturing
process data present special problems for feature engineering, since the data
have multiple levels of granularity (detail, resolution). Engineering the
target concept is important, due to our focus on understanding the past, as
opposed to the more common focus in machine learning on predicting the future.
"
41,"  This paper deals with the arrow of complexification of engineering. We claim
that the complexification of engineering consists in (a) that shift throughout
which engineering becomes a science; thus it ceases to be a (mere) praxis or
profession; (b) becoming a science, engineering can be considered as one of the
sciences of complexity. In reality, the complexification of engineering is the
process by which engineering can be studied, achieved and understood in terms
of knowledge, and not of goods and services any longer. Complex engineered
systems and bio-inspired engineering are so far the two expressions of a
complex engineering.
"
42,"  COTS-based development is a component reuse approach promising to reduce
costs and risks, and ensure higher quality. The growing availability of COTS
components on the Web has concretized the possibility of achieving these
objectives. In this multitude, a recurrent problem is the identification of the
COTS components that best satisfy the user requirements. Finding an adequate
COTS component implies searching among heterogeneous descriptions of the
components within a broad search space. Thus, the use of search engines is
required to make more efficient the COTS components identification. In this
paper, we investigate, theoretically and empirically, the COTS component search
performance of eight software component search engines, nine semantic search
engines and a conventional search engine (Google). Our empirical evaluation is
conducted with respect to precision and normalized recall. We defined ten
queries for the assessed search engines. These queries were carefully selected
to evaluate the capability of each search engine for handling COTS component
identification.
"
43,"  Historically two stroke engine petrol engines find wide applications in
construction of two wheelers worldwide, however due to stringent environmental
laws enforced universally; these engines are fading in numbers. In spite of the
tight norms, internationally these engines are still used in agriculture,
gensets etc. Several designs of variable compression ratio two stroke engines
are commercially available for analysis purpose. In this present investigation
a novel method of changing the compression ratio is proposed, applied, studied
and analyzed. The clearance volume of the engine is altered by introducing a
metal plug into the combustion chamber. This modification permitted to have
four different values of clearance value keeping in view of the studies
required the work is brought out as two sections. The first part deals with the
design, modification, engine fabrication and testing at different compression
ratios for the study of performance of the engine. The second part deals with
the combustion in engine using FLUENT and analysis of exhaust gases. Increase
in compression ratio improves fuel efficiency and power output. The novelty in
this work is to permit the two wheeler driver to change the compression ratio.
"
44,"  Purpose - To test major Web search engines on their performance on
navigational queries, i.e. searches for homepages. Design/methodology/approach
- 100 real user queries are posed to six search engines (Google, Yahoo, MSN,
Ask, Seekport, and Exalead). Users described the desired pages, and the results
position of these is recorded. Measured success N and mean reciprocal rank are
calculated. Findings - Performance of the major search engines Google, Yahoo,
and MSN is best, with around 90 percent of queries answered correctly. Ask and
Exalead perform worse but receive good scores as well. Research
limitations/implications - All queries were in German, and the German-language
interfaces of the search engines were used. Therefore, the results are only
valid for German queries. Practical implications - When designing a search
engine to compete with the major search engines, care should be taken on the
performance on navigational queries. Users can be influenced easily in their
quality ratings of search engines based on this performance. Originality/value
- This study systematically compares the major search engines on navigational
queries and compares the findings with studies on the retrieval effectiveness
of the engines on informational queries. Paper type - research paper
"
45,"  Database query engines use pull-based or push-based approaches to avoid the
materialization of data across query operators. In this paper, we study these
two types of query engines in depth and present the limitations and advantages
of each engine. Similarly, the programming languages community has developed
loop fusion techniques to remove intermediate collections in the context of
collection programming. We draw parallels between the DB and PL communities by
demonstrating the connection between pipelined query engines and loop fusion
techniques. Based on this connection, we propose a new type of pull-based
engine, inspired by a loop fusion technique, which combines the benefits of
both approaches. Then we experimentally evaluate the various engines, in the
context of query compilation, for the first time in a fair environment,
eliminating the biasing impact of ancillary optimizations that have
traditionally only been used with one of the approaches. We show that for
realistic analytical workloads, there is no considerable advantage for either
form of pipelined query engine, as opposed to what recent research suggests.
Also, by using microbenchmarks we show that our proposed engine dominates the
existing engines by combining the benefits of both.
"
46,"  Software Engineering as an industry is highly diverse in terms of development
methods and practices. Practitioners employ a myriad of methods and tend to
further tailor them by e.g. omitting some practices or rules. This diversity in
development methods poses a challenge for software engineering education,
creating a gap between education and industry. General theories such as the
Essence Theory of Software Engineering can help bridge this gap by presenting
software engineering students with higher-level frameworks upon which to build
an understanding of software engineering methods and practical project work. In
this paper, we study Essence in an educational setting to evaluate its
usefulness for software engineering students while also investigating barriers
to its adoption in this context. To this end, we observe 102 student teams
utilize Essence in practical software engineering projects during a semester
long, project-based course.
"
47,"  Development of scientific and engineering software is usually different and
could be more challenging than the development of conventional enterprise
software. The authors were involved in a technology-transfer project between
academia and industry which focused on engineering, development and testing of
a software for optimization of pumping energy costs for oil pipelines. Experts
with different skillsets (mechanical, power and software engineers) were
involved. Given the complex nature of the software (a sophisticated underlying
optimization model) and having experts from different fields, there were
challenges in various software engineering aspects of the software system
(e.g., requirements and testing). We report our observations and experience in
addressing those challenges during our technology-transfer project, and aim to
add to the existing body of experience and evidence in engineering of
scientific and engineering software. We believe that our observations,
experience and lessons learnt could be useful for other researchers and
practitioners in engineering of other scientific and engineering software
systems.
"
48,"  There have been growing uses of semantic networks in the past decade, such as
leveraging large-scale pre-trained graph knowledge databases for various
natural language processing (NLP) tasks in engineering design research.
Therefore, the paper provides a survey of the research that has employed
semantic networks in the engineering design research community. The survey
reveals that engineering design researchers have primarily relied on WordNet,
ConceptNet, and other common-sense semantic network databases trained on
non-engineering data sources to develop methods or tools for engineering
design. Meanwhile, there are emerging efforts to mine large scale technical
publication and patent databases to construct engineering-contextualized
semantic network databases, e.g., B-Link and TechNet, to support NLP in
engineering design. On this basis, we recommend future research directions for
the construction and applications of engineering-related semantic networks in
engineering design research and practice.
"
