Number,output,input
11,"  We discuss the role of non-ideal measurements within the context of
measurement engines by contrasting examples of measurement engines which have
the same work output but with varying amounts of entanglement. Accounting for
the cost of resetting, correlating the engine to a pointer state and also the
cost of cooling the pointer state, we show that for a given work output,
thermally correlated engines can outperform corresponding entanglement engines.
We also show that the optimal efficiency of the thermally correlated
measurement engine is achieved with a higher temperature pointer than the
pointer temperature of the optimal entanglement engine.
","This section describes the role of non -recognition measurement in context context.
Example of measurement engine measurement engine
The same work output, but there are various amounts of accounting.
Reset costs for the engine to correlate with the pointer status
Cost to cool the pointer status, there is a specific work output
The passionate engine is better than the intertwined engine.
Furthermore, the best efficiency of passionate correspondence
Measurement engine
Pointter temperature of the optimal entanglement engine."
12,"  The top-down approach of engineering software integration is considered in
this parer. A set of advantages of this approach are presented, by examples.
All examples are supplied by open source code.
","The downward approach to the integration of engineering software is as follows
This parser, a series of advantages of this approach, is presented in an example.
All examples are provided by open source code."
13,"  This short papers discusses the issues of teaching cloud computing from a
software engineering rather than a business perspective. It discusses what
topics might be covered in a senior course on cloud software engineering.
","This short paper describes the problem of cloud computing education.
Software engineering, not a business perspective.
This topic can be explained on a cloud software engineering senior course."
14,"  Background: Academic search engines (i.e., digital libraries and indexers)
play an increasingly important role in systematic reviews however these engines
do not seem to effectively support such reviews, e.g., researchers confront
usability issues with the engines when conducting their searches. Aims: To
investigate whether the usability issues are bugs (i.e., faults in the search
engines) or constraints, and to provide recommendations to search-engine
providers and researchers on how to tackle these issues. Method: Using
snowball-sampling from tertiary studies, we identify a set of 621 secondary
studies in software engineering. By physically re-attempting the searches for
all of these 621 studies, we effectively conduct regression testing for 42
search engines. Results: We identify 13 bugs for eight engines, and also
identify other constraints. We provide recommendations for tackling these
issues. Conclusions: There is still a considerable gap between the search-needs
of researchers and the usability of academic search engines. It is not clear
whether search-engine developers are aware of this gap. Also, the evaluation,
by academics, of academic search engines has not kept pace with the
development, by search-engine providers, of those search engines. Thus, the gap
between evaluation and development makes it harder to properly understand the
gap between the search-needs of researchers and search-features of the search
engines.
","Background: Academic search engine (digital library, indexer, etc.)
These engines are more and more important in systematic reviews
For example, it doesn't seem to support the same reviews that researchers face.
Useful issues of the engine when searching: to
Investigate whether a useful problem is a bug (that is, search defects)
Provides engine) or restrictions and search engines.
Providers and researchers.
Snowball sampling, a tertiary study, identifies the 621 secondary set.
Software engineering research.
All of these 621 studies effectively perform 42 regression tests.
Search engine: Identify 13 bugs of 8 engines
We identify other constraints and provide recommendations to deal with them.
problem.Conclusion: The search still has a gap.
The usefulness of researchers and academic search engines is not clear.
Search engine developers also evaluate the gap
Academic search engine by academia
Development of corresponding search engines by search engine provider
Between evaluation and development
Between the gaps required for researchers and search functions for search
engine."
15,"  This paper investigates the composition of search engine results pages. We
define what elements the most popular web search engines use on their results
pages (e.g., organic results, advertisements, shortcuts) and to which degree
they are used for popular vs. rare queries. Therefore, we send 500 queries of
both types to the major search engines Google, Yahoo, Live.com and Ask. We
count how often the different elements are used by the individual engines. In
total, our study is based on 42,758 elements. Findings include that search
engines use quite different approaches to results pages composition and
therefore, the user gets to see quite different results sets depending on the
search engine and search query used. Organic results still play the major role
in the results pages, but different shortcuts are of some importance, too.
Regarding the frequency of certain host within the results sets, we find that
all search engines show Wikipedia results quite often, while other hosts shown
depend on the search engine used. Both Google and Yahoo prefer results from
their own offerings (such as YouTube or Yahoo Answers). Since we used the .com
interfaces of the search engines, results may not be valid for other
country-specific interfaces.
","This paper investigates the configuration of the search engine result page.
Factors defined by the most popular web search engine for results
Page (organic results, ads, shortcuts, etc.) and to some extent
Since they are used in general rare queries, they send 500 queries.
Two major search engines, yahoo, live.com, and ask
Calculate the frequency of elements used by individual engines.
Our research is based on 42,758 elements.
The engine is composed of the result page
Therefore, the user
Search engines and search queries still play an important role
Other shortcuts are also important on the result page.
Regarding the frequency of a specific host in the result set
In many cases, all search engines show the wikipedia results and other hosts are displayed.
Depends on the search engine used
They provide their own things (eg: YouTube or yahoo)
The results of the interface and search engine may not be valid for other results.
Interface by country."
16,"  Security engineering in the software lifecycle aims at protecting information
and systems to guarantee confidentiality, integrity, and availability. As
security engineering matures and the number of research papers grows, there is
an increasing need for papers that summarize results and provide an overview of
the area. A systematic mapping study ""maps"" a research area by classifying
papers to identify which topics are well-studied and which need additional
study. Therefore, systematic mapping studies are becoming increasingly
important in security engineering. This chapter provides methodological support
for systematic mapping studies in security engineering based on examples from
published security engineering papers. Because security engineering is similar
to software engineering in that it bridges research and practice, researchers
can use the same basic systematic mapping process, as follows: (1) study
planning, (2) searching for studies, (3) study selection, (4) study quality
assessment, (5) data extraction, (6) data classification, (7) data analysis,
and (8) reporting of results. We use published mapping studies to describe the
tailoring of this process for security engineering. In addition to guidance on
how to perform systematic mapping studies in security engineering, this chapter
should increase awareness in the security engineering community of the need for
additional mapping studies.
","Software life cycle security engineering aims to protect information.
Like a system that guarantees confidentiality, consistency, and availability
Increases the maturity of security engineering and the number of research papers.
Introduces results and enhances the need for a dissertation that provides an overview
Local and systematic mapping research are classified and ""mapping"" the research field.
A paper that identifies which topic is well studied and needs to be added
Therefore, systematic mapping research is growing.
It is important for security engineering.
Systematic mapping research on security engineering
This is because public security engineering papers resemble security engineering.
Software engineering to research and practice
You can use the same basic mapping process as follows.(1) Research
Plan, (2) search search, (3) Select learning, (4) learning quality
Evaluation, (5) data extraction, (6) data classification, (7) data analysis,
(8) Report the results
In addition to this process for security engineering, in addition to the guidelines
How to carry out systematic mapping research with security engineering, chapters
The security engineering community needs to increase the awareness of needs.
Additional mapping research."
17,"  We catalog and describe Google's key software engineering practices.
",Explain the practice of Google's main software engineering as a catalog.
18,"  Social engineering has posed a serious threat to cyberspace security. To
protect against social engineering attacks, a fundamental work is to know what
constitutes social engineering. This paper first develops a domain ontology of
social engineering in cybersecurity and conducts ontology evaluation by its
knowledge graph application. The domain ontology defines 11 concepts of core
entities that significantly constitute or affect social engineering domain,
together with 22 kinds of relations describing how these entities related to
each other. It provides a formal and explicit knowledge schema to understand,
analyze, reuse and share domain knowledge of social engineering. Furthermore,
this paper builds a knowledge graph based on 15 social engineering attack
incidents and scenarios. 7 knowledge graph application examples (in 6 analysis
patterns) demonstrate that the ontology together with knowledge graph is useful
to 1) understand and analyze social engineering attack scenario and incident,
2) find the top ranked social engineering threat elements (e.g. the most
exploited human vulnerabilities and most used attack mediums), 3) find
potential social engineering threats to victims, 4) find potential targets for
social engineering attackers, 5) find potential attack paths from specific
attacker to specific target, and 6) analyze the same origin attacks.
","Social engineering was a serious threat to cyberspace security.
When protecting from social engineering attacks, what is the basic job is to know?
Configure social engineering.
Cyber __ecurity social engineering, therefore on the ontology evaluation.
Knowledge graph application.
Organizations that greatly affect the social engineering field,
With 22 types of relationships explaining how this entity is related
We offer an official and obvious knowledge schema that can be understood.
Not only analyze, reuse and share domain knowledge of social engineering
This white paper builds knowledge graphs based on 15 social engineering attacks.
Insides and scenarios
Pattern) indicates that ontology is useful in knowledge graphs.
1) Social engineering attack scenarios and understanding and analysis of thinking,
2) Find the best social engineering threat factor (example:
Exploit the most used attack media for human vulnerability), 3) find
Threat of potential social engineering for victims, 4) Find potential goals
Social engineering attacker, 5) Find a specific potential attack route
Attacks against specific goals and 6) analyze the same origin attack."
19,"  This paper represents preliminary work in identifying the foundation for the
discipline of Software Engineering and discovering the links between the
domains of Software Engineering and Information Technology (IT). Our research
utilized IEEE Transactions on Software Engineering (IEEE-TSE), ACM Transactions
on Software Engineering and Methodology (ACM-TOSEM), Automated Software
Engineering (ASE), the International Conference on Software Engineering(ICSE),
and other related journal publication in the software engineering domain to
address our research questions. We explored existing frameworks and described
the need for software engineering as an academic discipline. We went further to
clarify the distinction difference between Software Engineering and Computer
Science. Through this efforts we contribute to an understanding of how evidence
from IT research can be used to improve Software Engineering as a discipline.
","This paper
With the discipline of software engineering
Software engineering and information technology (IT) area
Used IEEE transactions for software engineering (IEEE-TSE) and ACM transactions
Software engineering and methodology (ACM-TOSEM), automated software
Engineering (ASE), international software engineering (ICSE),
Other related journal publications of software engineering domain
The question of the survey was resolved and explained the existing framework.
Need for software engineering as an academic field
Clear the difference between software engineering and computer
Science.Through these efforts, we contribute to the understanding of evidence.
Among them, research can improve software engineering in the field."
20,"  This systematic literature review aims to investigate the impact of
artificial intelligence (AI) on the labour force in software engineering, with
a particular focus on the skills needed for future software engineers, the
impact of AI on the demand for software engineering skills, and the future of
work for software engineers. The review identified 42 relevant publications
through a comprehensive search strategy and analysed their findings. The
results indicate that future software engineers will need to be competent in
programming and have soft skills such as problem-solving and interpersonal
communication. AI will have a significant impact on the software engineering
workforce, with the potential to automate many jobs currently done by software
engineers. The role of a software engineer is changing and will continue to
change in the future, with AI-assisted software development posing challenges
for the software engineering profession. The review suggests that the software
engineering profession must adapt to the changing landscape to remain relevant
and effective in the future.
","This systematic literature review
About the labor force of software engineering (AI)
In particular, we focus on the technology necessary for future software engineers.
Software engineering technology and the impact of demand for the future of AI
I work as a software engineer.This review has identified 42 publications.
The results were analyzed through a comprehensive search strategy.
The results indicate that future software engineers should be competent.
Programming and soft technology such as problem solving and interpersonal relationships
Communication.ai has a major impact on software engineering.
Human power that automates many tasks executed by software
The role of engineers and software engineers is changing,
AI Support Software Development will bring future changes for problems
Software engineering job.
Engineering jobs need to adapt to changing environments to maintain the relevance.
It is effective in the future."
21,"  By treating data and models as the source code, Foundation Models (FMs)
become a new type of software. Mirroring the concept of software crisis, the
increasing complexity of FMs making FM crisis a tangible concern in the coming
decade, appealing for new theories and methodologies from the field of software
engineering. In this paper, we outline our vision of introducing Foundation
Model (FM) engineering, a strategic response to the anticipated FM crisis with
principled engineering methodologies. FM engineering aims to mitigate potential
issues in FM development and application through the introduction of
declarative, automated, and unified programming interfaces for both data and
model management, reducing the complexities involved in working with FMs by
providing a more structured and intuitive process for developers. Through the
establishment of FM engineering, we aim to provide a robust, automated, and
extensible framework that addresses the imminent challenges, and discovering
new research opportunities for the software engineering field.
","Basic model (FMS) by processing data and model as source code
It will be a new type of software
Increase the complexity of FM that makes the FM crisis a true association
For 10 years, appeal to new theory and methodology in the software field
Engineering, this paper, briefly describes the vision of the Foundation.
Model (FM) engineering, strategic response to the expected FM crisis
In principle, engineering methodology.FM engineering aims to relieve possibilities.
Problems due to FM development and application introduction
With two data
Reduction of complexity related to model management and cooperation with FMS
We provide developers with a more systematic and intuitive process.
Establishment of FM engineering, we are powerful and automated,
Extended framework to solve and discover imminent issues
A new research meeting in the field of software engineering."
22,"  Digital Engineering, the digital transformation of engineering to leverage
digital technologies, is coming globally. This paper explores digital systems
engineering, which aims at developing theory, methods, models, and tools to
support the emerging digital engineering. A critical task is to digitalize
engineering artifacts, thus enabling information sharing across platform,
across life cycle, and across domains. We identify significant challenges and
enabling digital technologies; analyze the transition from traditional
engineering to digital engineering; define core concepts, including
""digitalization"", ""unique identification"", ""digitalized artifacts"", ""digital
augmentation"", and others; present a big picture of digital systems engineering
in four levels: vision, strategy, action, and foundation; briefly discuss each
of main areas of research issues. Digitalization enables fast infusing and
leveraging novel digital technologies; unique identification enables
information traceability and accountability in engineering lifecycle;
provenance enables tracing dependency relations among engineering artifacts;
supporting model reproducibility and replicability; helping with
trustworthiness evaluation of digital engineering artifacts.
","Digital innovation of digital engineering, leverage, engineering
Digital technology is coming around the world.In this paper, we explore digital systems.
Engineering aims to develop theory, method, model, and tools.
We support new digital engineering.
The engineering artifact allows you to share information on the entire platform.
Life cycle and domain identify serious tasks
Digital technology activation
Digital engineering
""Digital"", ""Unique identification"", ""Digitized Artifact"", ""Digital""
Present the extended ""and other; other; other; digital system engineering.
Four levels: vision, strategy, action, and basics
Digitization, which is the main area of __esearch questions, allows quick injections.
New digital technology can be used
Information tracking and responsibility for engineering life cycle.
Using the source can track the dependencies between engineering artificial materials.
Duplication and replica of support model.
Evaluation of reliability of digital engineering artificial materials."
23,"  We present a principal-agent model of a one-shot, shallow, systems
engineering process. The process is one-shot in the sense that decisions are
made during one time step and that they are final. The term shallow refers to a
one-layer hierarchy of the process. Specifically, we assume that the systems
engineer has already decomposed the problem in subsystems, and that each
subsystem is assigned to a different subsystem engineer. Each subsystem
engineer works independently to maximize their own expected payoff. The goal of
the systems engineer is to maximize the system-level payoff by incentivizing
the subsystem engineers. We restrict our attention to requirement-based
system-level payoffs, i.e., the systems engineer makes a profit only if all the
design requirements are met. We illustrate the model using the design of an
Earth-orbiting satellite system where the systems engineer determines the
optimum incentive structures and requirements for two subsystems: the
propulsion subsystem and the power subsystem. The model enables the analysis of
a systems engineer's decisions about optimal passed-down requirements and
incentives for sub-system engineers under different levels of task difficulty
and associated costs. Sample results, for the case of risk-neutral systems and
subsystems engineers, show that it is not always in the best interest of the
systems engineer to pass down the true requirements. As expected, the model
predicts that for small to moderate task uncertainties the optimal requirements
are higher than the true ones, effectively eliminating the probability of
failure for the systems engineer. In contrast, the model predicts that for
large task uncertainties the optimal requirements should be smaller than the
true ones in order to lure the subsystem engineers into participation.
","Present a major agent model of one -shot one -shot, a shallow system.
This process is determined
It was made immediately and was the final.
The first floor of the process assumes a system in detail.
Engineers have already broken down low systems and problems
The sub -system is assigned to another subsystem engineer
Engineers try to maximize the expected price independently.
System engineers are to maximize system -level rewards through incentives.
Low -system engineers limit their requirements.
System -level rewards or system engineers can only benefit in all cases.
The design requirements are satisfied.
Earth tissue satellite system determined by system engineers
Optimal incentive structure and requirements of two sub systems:
Promotional subsystem and power subsystem.
With the decision of a system engineer
Subsystem engineer incentive under various levels of work difficulty
In the case of related costs and risk neutral systems, sample results
The subsystem engineer shows that it is not always the best.
System engineers reduce actual requirements
Expect the optimal requirements for small or medium -sized uncertainty.
Delete the probability more effectively than True.
In contrast, system engineer disorders.
That's the optimal requirement for big work uncertainty
It is faithful to participate in a subsystem engineer."
24,"  In this position paper (1) we discuss two particular aspects of Systems of
Systems, i.e., variability and evolution. (2) We argue that concepts from
Product Line Engineering and Software Evolution are relevant to Systems of
Systems Engineering. (3) Conversely, concepts from Systems of Systems
Engineering can be helpful in Product Line Engineering and Software Evolution.
Hence, we argue that an exchange of concepts between the disciplines would be
beneficial.
","This position describes two specific aspects of the system.
System, that is, volatility and evolution
Product line engineering and software evolution are related to the system.
System engineering
Engineering is useful for the evolution of product line engineering and software.
Therefore, there is a conceptual exchange between the fields.
beneficial."
25,"  We retrospect three abstract models for heat engines which include a classic
abstract model in textbook of thermal physics, a primary abstract model for
finite-time heat engines, and a refined abstract model for finite-time heat
engines. The detailed models of heat engines in literature of finite-time
thermodynamics may be mapped into the refined abstract model. The future
developments based on the refined abstract model are also surveyed.
","Remember the three abstract models of thermal engines containing classic.
Thermal Physics Textbook abstract model, 1st Green model
Stylish abstract model for finite time heat engine and finite time fever
With engine engine.
Penchemology can be mapped to a sophisticated green model.
Development based on sophisticated abstract models has been investigated."
26,"  In this work, we introduce the concept of the fractional quantum heat engine.
We examine the space-fractional quantum Szilard heat engine as an example to
show that the space-fractional quantum heat engines can produce higher
efficiency than the conventional quantum heat engines.
","In this work, we will introduce the concept of fountain quantum heat engine.
As an example, check the Space fraction quantum Silad Heat Engine.
It indicates that the quantum heat engine corresponding to the space can be generated higher.
Efficiency than conventional quantum heat engines."
27,"  Reverse engineering has been a standard practice in the hardware community
for some time. It has only been within the last ten years that reverse
engineering, or ""program comprehension"", has grown into the current
sub-discipline of software engineering. Traditional software engineering is
primarily focused on the development and design of new software. However, most
programmers work on software that other people have designed and developed. Up
to 50% of a software maintainers time can be spent determining the intent of
source code. The growing demand to reevaluate and reimplement legacy software
systems, brought on by the proliferation of clientserver and World Wide Web
technologies, has underscored the need for reverse engineering tools and
techniques. This paper introduces the terminology of reverse engineering and
gives some of the obstacles that make reverse engineering difficult. Although
reverse engineering remains heavily dependent on the human component, a number
of automated tools are presented that aid the reverse engineer.
","Reverse engineering was a standard practice of the hardware community.
For a while, it has reversed in the last 10 years.
Engineering or ""Understanding Programs"" is growing to date
Software engineering subfield
Most of them are focused on the development and design of new software
The programmer uses software designed and developed by others.
It can be consumed to determine 50 % of the software administrator time.
The demand for re -evaluation and duplication of source code and legacy software is increasing.
System by spreading client server and World Wide Web
Technology emphasizes the need for a reverse engineering tool.
This white paper introduces the terms of reverse engineering.
Provides several obstacles that make reverse engineering difficult.
Reverse engineering depends greatly on human components and numbers.
A automated tools are provided to support station engineers."
28,"  On 4 January 2007 the author published the article Wireless Transfer of
Electricity in Outer Space in http://arxiv.org wherein he offered and
researched a new revolutionary method of transferring electric energy in space.
In that same article, he offered a new engine which produces a large thrust
without throwing away large amounts of reaction mass (unlike the conventional
rocket engine).
  In the current article, the author develops the theory of this kind of
impulse engine and computes a sample project which shows the big possibilities
opened by this new AB-Space Engine. The AB-Space Engine gets the energy from
ground-mounted power; a planet electric station can transfer electricity up to
1000 millions (and more) of kilometers by plasma wires. Author shows that
AB-Space Engine can produce thrust of 10 tons (and more). That can accelerate a
space ship to some thousands of kilometers/second. AB-Space Engine has a
staggering specific impulse owing to the very small mass expended. The AB-Space
Engine reacts not by expulsion of its own mass (unlike rocket engine) but
against the mass of its planet of origin (located perhaps a thousand of
millions of kilometers away) through the magnetic field of its plasma cable.
For creating this plasma cable the AB-Space Engine spends only some kg of
hydrogen.
","January 4, 2007, the author
Electricity is provided to the external space of http://arxiv.org
We have studied new innovative methods that convey electricity energy in space.
In the same article, he provided a new engine to generate a great thrust.
Without abandoning a large amount of reaction quality (it is different from before
Rocket engine).
In the current article, the author is developing this kind of theory.
Calculate the impulse engine and a sample project with great potential.
This new AB space engine is opened.AB-Space engine gets energy
Ground -mounted power.
The author shows 10 million kilometers (and more) by plasma wire.
AB Space engines can generate 10 tons (and more) thrust.
The spaceship has several thousand kilometers/seconds on the AB space engine.
A big impulse due to a very small amount of spending.
The engine (unlike the rocket engine) is not to expel your unique mass.
About the origin of the origin (probably a cloth)
It is millions of kilometers from the plasma cable magnetic field.
To make this plasma cable, the AB space engine is a few kg
hydrogen."
29,"  For heat engines working between two heat baths, functionality is often
conditioned on a set of fixed constraints such as given internal structure of
the engine and given temperatures for the baths. It is, however, important to
devise heat engines which can function adaptively, in particular when the
engine is a quantum system and the baths are subject to fluctuations. Here we
study a model for an adaptive quantum heat engine whose heat baths can have
variable temperatures. We obtain conditions under which such an engine can
still operate. Moreover, we propose an enhancement of the heat engine by
coupling it with an appropriate controller which changes the internal structure
of the engine. Interestingly, we prove that this enhanced engine can always
operate and we also obtain conditions for maximum power extraction from this
engine for all temperatures of the heat baths.
","In the case of a thermal engine that operates between two heat baths, the function is often
Serial like a specific internal structure
The bathtub engine and the temperature given, but important
Heat engine that can be particularly adaptive
The engine is a quantum system and applies to the bathtub.
Study the models of the adaptive quantum heat engine that the thermal bus can have.
Fluctuation temperature.
Still, it is functioning, and we also recommend improving the heat engine.
Change the internal structure in combination with an appropriate controller
Interestingly, we prove that this enhanced engine is always possible.
It works, and you can get the largest power extraction conditions.
Engine at all temperature bathtub."
